Manufacturer Part Number,Manufacturer,Digi-Key Part Number,Customer Reference,Reference Designator,Packaging,Part Status,Quantity,Unit Price,Extended Price,Quantity Available,Mfg Std Lead Time,Description,RoHS Status,Lead Free Status,REACH Status,US Tariff Status,Assembly status
MCP2562T-E/SN,Microchip Technology,MCP2562T-E/SNCT-ND,,,Cut Tape (CT),Active,1,1.46,$1.46,27560,14 Weeks,IC TXRX CAN 8SOIC,RoHS Compliant,Lead free,REACH Unaffected,,Got
RT6200GE,Richtek USA Inc.,RT6200GECT-ND,,,Cut Tape (CT),Active,1,3.32,$3.32,2975,16 Weeks,IC REG BUCK ADJ 0.6A SOT23-6,RoHS Compliant,Lead free,REACH Unaffected,,Nope
AP2112K-3.3TRG1,Diodes Incorporated,AP2112K-3.3TRG1DICT-ND,,,Cut Tape (CT),Active,2,0.75,$1.50,151941,24 Weeks,IC REG LINEAR 3.3V 600MA SOT25,RoHS Compliant,Lead free,REACH Unaffected,Tariff Applied,Got
VNH5019ATR-E,STMicroelectronics,497-13073-1-ND,,,Cut Tape (CT),Active,1,13,$13.00,10,Not Available,IC MTR DRV 5.5-24V MULTIPWRSO-30,RoHS Compliant,Lead free,Not Available,,Got
SM04B-GHS-TB(LF)(SN)-,JST Sales America Inc.,455-1566-1-ND,,,Cut Tape (CT),Active,2,0.66,$1.32,73785,24 Weeks,CONN HEADER SMD R/A 4POS 1.25MM,RoHS Compliant,Lead free,Not Available,,Nope
RC0805JR-071KL,Yageo,311-1.0KARCT-ND,,,Cut Tape (CT),Active,10,0.056,$0.56,7880762,16 Weeks,RES SMD 1K OHM 5% 1/8W 0805,RoHS Compliant,Lead free,REACH Unaffected,Tariff Applied,Got
CL21F104ZBCNNNC,Samsung Electro-Mechanics,1276-1007-1-ND,,,Cut Tape (CT),Active,2,0.15,$0.30,1074630,Not Available,CAP CER 0.1UF 50V Y5V 0805,RoHS Compliant,Lead free,REACH Unaffected,,Got
RC0805JR-074K7L,Yageo,311-4.7KARCT-ND,,,Cut Tape (CT),Active,2,0.16,$0.32,4683044,16 Weeks,RES SMD 4.7K OHM 5% 1/8W 0805,RoHS Compliant,Lead free,REACH Unaffected,Tariff Applied,Got
RC0805JR-071KL,Yageo,311-1.0KARCT-ND,,,Cut Tape (CT),Active,10,0.056,$0.56,7880762,16 Weeks,RES SMD 1K OHM 5% 1/8W 0805,RoHS Compliant,Lead free,REACH Unaffected,Tariff Applied,Got
NX5032GA-8.000M-STD-CSU-1,"NDK America, Inc.",644-1132-1-ND,,,Cut Tape (CT),Active,1,1.02,$1.02,199770,12 Weeks,CRYSTAL 8.0000MHZ 8PF SMD,RoHS Compliant,Lead free,Not Available,Tariff Applied,Got
885012007012,Wurth Electronics Inc.,732-7816-1-ND,,,Cut Tape (CT),Active,2,0.15,$0.30,4459,37 Weeks,CAP CER 22PF 16V C0G/NP0 0805,RoHS Compliant,Lead free,REACH Unaffected,,Got
LTST-C171GKT,Lite-On Inc.,160-1423-1-ND,,,Cut Tape (CT),Active,2,0.43,$0.86,473393,12 Weeks,LED GREEN CLEAR CHIP SMD,RoHS Compliant,Lead free,Not Available,Tariff Applied,Got
RR1220P-103-D,Susumu,RR12P10.0KDCT-ND,,,Cut Tape (CT),Active,1,0.17,$0.17,921061,16 Weeks,RES SMD 10K OHM 0.5% 1/10W 0805,RoHS Compliant,Lead free,Not Available,Tariff Applied,Got
IPB80N03S4L03ATMA1,Infineon Technologies,IPB80N03S4L03ATMA1CT-ND,,,Cut Tape (CT),Active,1,2.57,$2.57,780,Not Available,MOSFET N-CH 30V 80A TO263-3,RoHS Compliant,Lead free,Not Available,,Nope
CL21A106KQCLRNC,Samsung Electro-Mechanics,1276-2405-1-ND,,,Cut Tape (CT),Active,1,0.16,$0.16,51390,Not Available,CAP CER 10UF 6.3V X5R 0805,RoHS Compliant,Lead free,REACH Unaffected,Tariff Applied,Got
TPSE107M025R0150,AVX Corporation,478-10758-1-ND,,,Cut Tape (CT),Active,1,4.66,$4.66,4944,15 Weeks,CAP TANT 100UF 20% 25V 2917,RoHS Compliant,Lead free,REACH Unaffected,,Nope
